thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
6,6,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,3.799016237258911,None,,,,,0,0,0,0,0,6,6,182,80.47025799751282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.54576032597117,66.54576032597117,63.0884309416956,61.33064449745196,64.87925156503157,58.00952900410076,1.0,1.1,-640,258,-480,269,-324,258,80.45555901527405,80.45567178726196,80.45846056938171,80.47025799751282,80.6188268661499,80.6188268661499,80.6188268661499,80.6188268661499,80.6188268661499,80.6188268661499,80.6188268661499,84.28659439086914,1,3.799016237258911,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
7,7,0,critical,dwh,45.0,4.0,upper,117.0,117.0,125.0,200.0,200.0,125.0,2,1.7102186679840088,None,,,,,0,0,0,0,0,7,7,65,84.30229330062866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,125.0,200.0,200.0,125.0,4.0,4.1,-254,-278,0,-13,258,-255,84.28742957115173,84.28746938705444,84.28976798057556,84.30229330062866,84.45236039161682,84.45236039161682,84.45236039161682,84.45236039161682,84.45236039161682,84.45236039161682,84.45236039161682,86.0203902721405,2,1.7102186679840088,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
8,8,0,filler_random,None,None,None,None,None,None,None,None,None,None,2,1.4336693286895752,None,,,,,0,0,0,0,0,8,8,151,86.03567123413086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.75013612812813,61.34829957174682,172.65936753335595,173.60605090417582,169.32294347461198,169.72037180259676,1.0,1.1,-693,272,-480,259,-212,266,86.02132940292358,86.02137231826782,86.02367806434631,86.03567123413086,86.18566107749939,86.18566107749939,86.18566107749939,86.18566107749939,86.18566107749939,86.18566107749939,86.18566107749939,87.4869134426117,2,1.4336693286895752,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
9,9,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,3.6053898334503174,None,,,,,0,0,0,0,0,9,9,206,87.50201797485352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44350749205943,60.44350749205943,58.59001025645652,59.83097416486191,58.99440301569758,58.58440780790862,2.1,2.12,-156,-253,0,-276,155,255,87.48789095878601,87.48793244361877,87.49039340019226,87.50201797485352,87.65219783782959,87.65219783782959,87.65219783782959,87.65219783782959,87.65219783782959,87.65219783782959,87.65219783782959,91.11994957923889,1,3.6053898334503174,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
10,10,0,critical,hwd,45.0,3.0,upper,200.0,125.0,125.0,200.0,117.0,117.0,2,2.484492301940918,None,,,,,0,0,0,0,0,10,10,99,91.13531589508057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,125.0,200.0,117.0,117.0,3.0,3.1,-258,254,0,-3,254,-274,91.12073850631714,91.12077808380127,91.1231894493103,91.13531589508057,91.28563499450684,91.28563499450684,91.28563499450684,91.28563499450684,91.28563499450684,91.28563499450684,91.28563499450684,93.63670873641968,2,2.484492301940918,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
11,11,0,critical,dwh,45.0,2.1,upper,117.0,117.0,125.0,200.0,200.0,125.0,2,1.6392967700958252,None,,,,,0,0,0,0,0,11,11,5,93.65217614173889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,125.0,200.0,200.0,125.0,2.1,2.12,-254,-258,0,-272,258,272,93.63752603530884,93.6375663280487,93.6409707069397,93.65217614173889,93.80229926109314,93.80229926109314,93.80229926109314,93.80229926109314,93.80229926109314,93.80229926109314,93.80229926109314,95.30371713638306,2,1.6392967700958252,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
12,12,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,1.1007544994354248,None,,,,,0,0,0,0,0,12,12,171,95.3186776638031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4062224358566,139.4062224358566,97.22740665373613,129.0697730907739,67.31886175057376,96.01746271668742,3.0,3.2,-230,-277,0,18,209,278,95.30472421646118,95.30476593971252,95.3069589138031,95.3186776638031,95.46888518333435,95.46888518333435,95.46888518333435,95.46888518333435,95.46888518333435,95.46888518333435,95.46888518333435,96.43646764755249,1,1.1007544994354248,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
13,13,0,critical,hdw,45.0,2.1,lower,133.0,57.0,65.0,65.0,57.0,133.0,1,2.2004573345184326,None,,,,,0,0,0,0,0,13,13,20,96.45193409919739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,57.0,65.0,65.0,57.0,133.0,2.1,2.12,-157,-287,0,-277,195,261,96.4372718334198,96.43731331825256,96.43951439857483,96.45193409919739,96.6020519733429,96.6020519733429,96.6020519733429,96.6020519733429,96.6020519733429,96.6020519733429,96.6020519733429,98.66979217529297,1,2.2004573345184326,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
14,14,0,critical,dhw,60.0,1.0,lower,55.0,55.0,133.0,57.0,57.0,133.0,2,1.406212568283081,None,,,,,0,0,0,0,0,14,14,54,98.68508744239807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,55.0,133.0,57.0,57.0,133.0,1.0,1.1,-632,273,-480,267,-289,258,98.67056345939636,98.67060279846191,98.67303800582886,98.68508744239807,98.83538866043091,98.83538866043091,98.83538866043091,98.83538866043091,98.83538866043091,98.83538866043091,98.83538866043091,100.1036262512207,2,1.406212568283081,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
15,15,0,critical,whd,60.0,1.0,upper,125.0,200.0,200.0,125.0,100.0,100.0,1,2.629804849624634,None,,,,,0,0,0,0,0,15,15,91,100.11858367919922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,100.0,100.0,1.0,1.1,-738,283,-480,254,-272,266,100.10440850257874,100.10444974899292,100.10674238204956,100.11858367919922,100.26878786087036,100.26878786087036,100.26878786087036,100.26878786087036,100.26878786087036,100.26878786087036,100.26878786087036,102.75397205352783,1,2.629804849624634,None,,,,,,,,,,,,,,,,,,7,5,2025-02-13_11h54.33.183,comp,2024.2.5,61.249045334735214,2025-02-13 11h58.21.121758 -0500,
