thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014632225036621094,0.0491642951965332,0.0491642951965332,0.0491642951965332,0.014451980590820312,21.57603168487549,1,[21.524110317230225],[21.524132251739502],0,,,[-65.0],[-510.0],[1],[0],[0],[21.56094980239868],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.576586723327637,21.5766544342041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.576698780059814,21.591452836990356,23.595736980438232,23.575120449066162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,23.595736980438232,,,,,,,,,,,,,,,,,,,,,,,,,,,23.576120853424072,23.595736980438232,23.595736980438232,25.08788537979126,29.807677030563354,space,4.6715989112854,None,29.807863473892212,29.823018312454224,29.823018312454224,31.30915141105652,38.26257872581482,space,6.938159942626953,None,38.26272249221802,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,38.314478158950806,39.769864559173584,45.38613796234131,space,5.605300188064575,None,45.3863000869751,45.40297222137451,45.40297222137451,45.40297222137451,46.8944947719574,59.54999279975891,space,12.640574216842651,None,59.55014395713806,59.56532287597656,59.56532287597656,61.05189561843872,63.01866698265076,space,1.9476618766784668,None,63.01890850067139,63.03392577171326,63.03392577171326,64.4199652671814,space,1.3814215660095215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
0,0,0,critical,dhw,45.0,1.0,upper,117.0,117.0,200.0,125.0,125.0,200.0,2,6.632004499435425,None,,,,,0,0,0,0,0,0,0,49,64.51928663253784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,117.0,200.0,125.0,125.0,200.0,1.0,1.2,-217,-17,0,16,258,-13,64.50273752212524,64.5027666091919,64.50387740135193,64.51928663253784,64.68401670455933,64.68401670455933,64.68401670455933,64.68401670455933,64.68401670455933,64.68401670455933,64.68401670455933,71.15636110305786,2,6.632004499435425,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
1,1,0,filler_random,None,None,None,None,None,None,None,None,None,None,1,4.483705282211304,None,,,,,0,0,0,0,0,1,1,132,71.17142343521118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.10835303719722,180.5416067297414,92.0183392608708,158.3543048364732,140.84069034581614,117.54941526824689,3.0,3.2,-265,-265,0,10,234,264,71.15790057182312,71.15795946121216,71.16029787063599,71.17142343521118,71.31853032112122,71.31853032112122,71.31853032112122,71.31853032112122,71.31853032112122,71.31853032112122,71.31853032112122,75.65753102302551,1,4.483705282211304,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
2,2,0,critical,dhw,60.0,2.1,upper,100.0,100.0,200.0,125.0,125.0,200.0,3,7.301929712295532,None,,,,,0,0,0,0,0,2,2,27,75.6733934879303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,200.0,125.0,125.0,200.0,2.1,2.11,-208,274,0,269,258,-250,75.6591248512268,75.65920782089233,75.66263937950134,75.6733934879303,75.82343292236328,75.82343292236328,75.82343292236328,75.82343292236328,75.82343292236328,75.82343292236328,75.82343292236328,82.99299621582031,3,7.301929712295532,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
3,3,0,critical,dwh,45.0,4.0,lower,65.0,65.0,57.0,133.0,133.0,57.0,2,6.654710531234741,None,,,,,0,0,0,0,0,3,3,64,83.00815987586975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,57.0,133.0,133.0,57.0,4.0,4.2,-195,-11,0,-255,191,-1,82.99452090263367,82.99459886550903,82.99790835380554,83.00815987586975,83.15861439704895,83.15861439704895,83.15861439704895,83.15861439704895,83.15861439704895,83.15861439704895,83.15861439704895,89.67850351333618,2,6.654710531234741,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
4,4,0,filler_square,None,None,None,None,None,None,None,None,None,None,1,2.4478182792663574,None,,,,,0,0,0,0,0,4,4,177,89.69507026672363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.06483972369017,141.06483972369017,82.59134667946736,104.15818022818553,113.84822212740217,100.51530825425243,1.0,1.2,-219,-5,0,19,198,-15,89.68056130409241,89.6806423664093,89.68381547927856,89.69507026672363,89.84802389144897,89.84802389144897,89.84802389144897,89.84802389144897,89.84802389144897,89.84802389144897,89.84802389144897,92.14585995674133,1,2.4478182792663574,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
5,5,0,critical,dhw,60.0,1.0,upper,100.0,100.0,200.0,125.0,125.0,200.0,3,7.333611011505127,None,,,,,0,0,0,0,0,5,5,55,92.16126322746277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,200.0,125.0,125.0,200.0,1.0,1.2,-208,-15,0,-14,258,0,92.14734148979187,92.1474187374115,92.15059089660645,92.16126322746277,92.31049919128418,92.31049919128418,92.31049919128418,92.31049919128418,92.31049919128418,92.31049919128418,92.31049919128418,99.49887037277222,3,7.333611011505127,None,,,,,,,,,,,,,,,,,,8,6,2025-02-13_11h54.22.936,comp,2024.2.5,58.379332374797656,2025-02-13 11h58.46.869410 -0500,
