thisN,thisTrialN,thisRepN,effect,order,distance,config,diag,h_1,w_1,h_2,w_2,h_3,w_3,rect_choice.keys,rect_choice.rt,rect_choice.duration,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,consent.started,agree_button.started,decline_button.started,consent_img.started,mouse.started,consent.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,exp_params.started,exp_params.stopped,welcome.started,welcome_text.started,welcome.stopped,instructions_1.started,instructions_1_text_1.started,instructions_1_text_2.started,key_resp.started,instructions_1.stopped,instructions_loop.key_resp.keys,instructions_loop.key_resp.rt,instructions_loop.key_resp.duration,instructions_2.started,instructions_2_text_1.started,instructions_2_text_2.started,key_resp_2.started,instructions_2.stopped,instructions_loop.key_resp_2.keys,instructions_loop.key_resp_2.rt,instructions_loop.key_resp_2.duration,instructions_3.started,instructions_3_text_1.started,r1_instr3.started,r2_instr3.started,r3_instr3.started,r1_instr3_label.started,r2_instr3_label.started,r3_instr3_label.started,instructions_3_text_3.started,instructions_3_text_4.started,key_resp_3.started,instructions_3.stopped,instructions_loop.key_resp_3.keys,instructions_loop.key_resp_3.rt,instructions_loop.key_resp_3.duration,instructions_4.started,instructions_4_text_1.started,instructions_4_text_3.started,instructions_4_text_2.started,key_resp_4.started,instructions_4.stopped,instructions_loop.key_resp_4.keys,instructions_loop.key_resp_4.rt,instructions_loop.key_resp_4.duration,instructions_5.started,instructions_5_text_1.started,instructions_5_text_2.started,key_resp_5.started,instructions_5.stopped,instructions_loop.key_resp_5.keys,instructions_loop.key_resp_5.rt,instructions_loop.key_resp_5.duration,start_exp.started,start_exp_text.started,key_resp_6.started,start_exp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,h_1_tmp,w_1_tmp,h_2_tmp,w_2_tmp,h_3_tmp,w_3_tmp,config_tmp,config_tmp_1,r_1_x,r_1_y,r_2_x,r_2_y,r_3_x,r_3_y,pre_trial.started,pre_trial.stopped,choice_trial.started,rect_choice.started,r_1.started,r_2.started,r_3.started,r_1_label.started,r_2_label.started,r_3_label.started,prompt.started,choice_trial.stopped,trials.rect_choice.keys,trials.rect_choice.rt,trials.rect_choice.duration,end_block.started,end_block_text.started,end_block.stopped,end.started,end_text.started,key_resp_7.started,end.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,debriefing.started,debrief_form.started,end_debrief.started,debriefing.stopped,end_debrief.keys,end_debrief.rt,end_debrief.duration,participant,computer,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014994144439697266,0.035884857177734375,0.035884857177734375,0.035884857177734375,0.014801502227783203,4.807796478271484,1,[4.769416093826294],[4.769440650939941],0,,,[-96.0],[-494.0],[1],[0],[0],[4.792332649230957],['agree_button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808320760726929,4.808389663696289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808434963226318,4.82533860206604,6.8149495124816895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6.831441402435303,,,,,,,,,,,,,,,,,,,,,,,,,,6.815807342529297,6.831441402435303,6.831441402435303,8.315311431884766,13.61857008934021,space,5.295778274536133,None,13.61871886253357,13.634824752807617,13.634824752807617,15.13431692123413,24.08813977241516,space,8.948515892028809,None,24.08828830718994,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,24.11776065826416,25.597135066986084,30.246392726898193,space,4.6454994678497314,None,30.246556520462036,30.266493558883667,30.266493558883667,30.266493558883667,31.75633454322815,37.74294328689575,space,5.975970268249512,None,37.74309682846069,37.75652289390564,37.75652289390564,39.24195575714111,40.026933670043945,space,0.7771205902099609,None,40.02714157104492,40.04029083251953,40.04029083251953,40.97571015357971,space,0.9305710792541504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
0,0,0,critical,whd,45.0,4.0,upper,125.0,200.0,200.0,125.0,117.0,117.0,2,2.4494056701660156,None,,,,,0,0,0,0,0,0,0,89,41.07306957244873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,200.0,200.0,125.0,117.0,117.0,4.0,4.2,-258,-5,0,-257,217,15,41.05638337135315,41.05642008781433,41.05780649185181,41.07306957244873,41.22092938423157,41.22092938423157,41.22092938423157,41.22092938423157,41.22092938423157,41.22092938423157,41.22092938423157,43.53809094429016,2,2.4494056701660156,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
1,1,0,filler_square,None,None,None,None,None,None,None,None,None,None,3,3.944561719894409,None,,,,,0,0,0,0,0,1,1,178,43.55485248565674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.90656932793442,84.83673681607446,90.74643147467054,130.22477053878134,155.4564327555359,155.4564327555359,4.0,4.1,-204,-281,0,-17,239,-273,43.54014444351196,43.54022216796875,43.543447732925415,43.55485248565674,43.69533371925354,43.69533371925354,43.69533371925354,43.69533371925354,43.69533371925354,43.69533371925354,43.69533371925354,47.517088890075684,3,3.944561719894409,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
2,2,0,critical,hwd,60.0,2.1,upper,200.0,125.0,125.0,200.0,100.0,100.0,1,7.7495198249816895,None,,,,,0,0,0,0,0,2,2,43,47.53350639343262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,125.0,125.0,200.0,100.0,100.0,2.1,2.11,-258,267,0,267,246,-269,47.51880073547363,47.51896929740906,47.522255182266235,47.53350639343262,47.6773145198822,47.6773145198822,47.6773145198822,47.6773145198822,47.6773145198822,47.6773145198822,47.6773145198822,55.2995491027832,1,7.7495198249816895,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
3,3,0,catch,None,None,None,None,None,None,None,None,None,None,1,1.7188806533813477,None,,,,,0,0,0,0,0,3,3,128,55.315773725509644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,145,133,57,107,83,2.2,2.22,-197,252,0,-271,166,-269,55.30169916152954,55.301783084869385,55.305341482162476,55.315773725509644,55.46178674697876,55.46178674697876,55.46178674697876,55.46178674697876,55.46178674697876,55.46178674697876,55.46178674697876,57.048908710479736,1,1.7188806533813477,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
4,4,0,critical,dhw,45.0,2.1,lower,65.0,65.0,133.0,57.0,57.0,133.0,3,5.363122940063477,None,,,,,0,0,0,0,0,4,4,0,57.06440830230713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,133.0,57.0,57.0,133.0,2.1,2.11,-157,284,0,286,191,-252,57.05048656463623,57.05056381225586,57.054003953933716,57.06440830230713,57.214282751083374,57.214282751083374,57.214282751083374,57.214282751083374,57.214282751083374,57.214282751083374,57.214282751083374,62.43311834335327,3,5.363122940063477,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
5,5,0,filler_square,None,None,None,None,None,None,None,None,None,None,2,2.3854637145996094,None,,,,,0,0,0,0,0,5,5,203,62.44938135147095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.47394079718032,132.8689742150992,163.36316077311417,163.36316077311417,94.71267172148191,57.870459233017385,2.2,2.22,-244,266,0,-268,207,-261,62.4349422454834,62.43502616882324,62.438096046447754,62.44938135147095,62.60502862930298,62.60502862930298,62.60502862930298,62.60502862930298,62.60502862930298,62.60502862930298,62.60502862930298,64.85158729553223,2,2.3854637145996094,None,,,,,,,,,,,,,,,,,,10,4,2025-02-13_11h54.45.141,comp,2024.2.5,57.856618681615785,2025-02-13 12h01.15.967628 -0500,
